Phrase,PoS,Encoding,euspelling
ex gratia,JJ2,000,[]
ex libris,RR2,000,[]
ex officio,JJ2|RR2,000,[]
ex parte,JJ2|RR2,000,[]
ex post facto,RR3,000,[]
ex tempore,JJ2,000,[]
except for,II2,000,[]
except that,CS2,000,[]
fait accompli,NN12,000,[]
far from,RG2,000,[]
far off,JJ2,000,[]
faux pas,NN2,101,fauh pah
fed up,JJ2,000,[]
femme fatale,NN12,000,[]
femmes fatales,NN22,000,[]
film noir,NN12,101,film nwar
fin de siecle,NNT13,000,[]
fines herbes,NN22,000,[]
foie gras,NN12,101,fwa grah
for certain,RR2,101,for certan
for ever,RR2,000,[]
for example,REX2,000,[]
for fear of,II3,101,for fear ov
for good,RR2,000,[]
for instance,REX2,000,[]
for keeps,RR2,000,[]
for long,RR2,000,[]
for once,RR2,101,for wunce
for sure,RR2,000,[]
for the most part,RR4,101,for the moste part
for the time being,RT4,000,[]
force majeure,NN12,000,[]
from now on,RT3,101,from nuw on
from time to time,RR4,101,from time tu time
gee whizz,UH2,000,[]
genius loci,NN12,000,[]
given that,CS2,000,[]
grand mal,NN12,000,[]
grand prix,NN12,000,[]
grande dame,NN12,000,[]
grown up,JJ2|NN12,000,[]
grown ups,NN22,000,[]
guardian ad litem,NN13,101,gardian ad litem
gung ho,JJ2|RR2,000,[]
habeas corpus,NN12,000,[]
half way,RR2,101,haff way
hara kiri,NN12,000,[]
hard up,JJ2,000,[]
hasta la vista,UH3,000,[]
hasta luego,UH2,000,[]
haute couture,NN12,000,[]
haute cuisine,NN12,000,[]
have nots,NN22,101,hav nots
hey presto,UH2,000,[]
hoi polloi,NN2,000,[]
homo sapiens,NN12,000,[]
id est,REX2,000,[]
idee fixe,NN12,101,ideh fix
ignis fatuus,NN12,000,[]
in absentia,RR2,000,[]
in accord with,II3,000,[]
in accordance with,II3,000,[]
in addition to,II3,101,in addition tu
in addition,RR2,000,[]
in aid of,II3,101,in aid ov
in answer to,II3,000,in anser tu
in association with,II3,000,[]
in back of,II3,101,in back ov
in between,II2|JJ2|RL2,000,[]
in brief,RR2,000,[]
in camera,RR2,000,[]
in case of,II3,101,in case ov
in case,CS2|RR2,000,[]
in charge of,II3,000,[]
in common with,II3,000,[]
in common,RR2,000,[]
in comparison with,II3,000,[]
in conjunction with,II3,000,[]
in connection with,II3,000,[]
in consultation with,II3,000,[]
in contact with,II3,000,[]
in cooperation with,II3,000,[]
in defence of,II3,101,in defense ov
in defense of,II3,101,in defense ov
in defiance of,II3,101,in defiance ov
in excess of,II3,101,in excess ov
in extremis,RR2,000,[]
in face of,II3,101,in face ov
in favor of,II3,101,in favor ov
in favour of,II3,101,in favor ov
in flagrante delicto,RR3,000,[]
in front of,II3,101,in front ov
in full,RR2,000,[]
in general,RR2,000,[]
in keeping with,II3,000,[]
in lieu of,II3,101,in lieu ov
in light of,II3,101,in liht ov
in line with,II3,000,[]
in loco parentis,JJ3|RR3,000,[]
in medias res,RR3,000,[]
in memoriam,RR2,000,[]
in need of,II3,101,in need ov
in order,BCL2,000,[]
in part,RR2,000,[]
in particular,RR2,000,[]
in place of,II3,101,in place ov
in possession of,II3,101,in possession ov
in private,RR2,101,in privat
in proportion to,II3,101,in proportion tu
in propria persona,RR3,000,[]
in public,RR2,000,[]
in pursuit of,II3,101,in pusuht ov
in quest of,II3,101,in quest ov
in receipt of,II3,101,in receet ov
in regard to,II3,101,in regard tu
in relation to,II3,101,in relation tu
in reply to,II3,101,in reply tu
in respect of,II3,101,in respect ov
in response to,II3,101,in response tu
in return for,II3,000,[]
in search of,II3,101,in serqh ov
in short,RR2,000,[]
in situ,RR2,000,[]
in so far as,CS4,000,[]
in some way,RR3,101,in som way
in spite of,II3,101,in spite ov
in support of,II3,101,in support ov
in terms of,II3,101,in terms ov
in that,CS2,000,[]
in the main,RR3,000,[]
in the order of,RG4,101,in the order ov
in toto,JJ2|RR2,000,[]
in touch with,II3,101,in tuqh
in vain,RR2,000,[]
in view of,II3,101,in view ov
in vino veritas,RR3,000,[]
in vitro,JJ2|RR2,000,[]
in vivo,JJ2|RR2,000,[]
inasmuch as,CS2,101,inasmuqh as
infra dig,JJ2,000,[]
inside out,JJ2|RL2,000,[]
insofar as,CS2,000,[]
instead of,CS2|II2,101,instedd ov
