# GENERATED by build/derive-ipa.py --enc 101 --syllables 1 (CMUdict, General American).
# grapheme = euspelling; ipa = headword pronunciation; gloss = headword.
huwl,haʊl,howl
hynd,haɪnd,hind
hynds,haɪndz,hinds
ihle,aɪl,isle
ihles,aɪlz,isles
inqh,ɪntʃ,inch
iye,aɪ,eye
jamm,dʒæm,jamb
juce,dʒus,juice
juwl,dʒaʊl,jowl
keeqh,kitʃ,keech
keye,ki,quay
kniht,naɪt,knight
kynd,kaɪnd,kind
kynds,kaɪndz,kinds
laff,læf,laugh
lamm,læm,lamb
larqh,lɑɹtʃ,larch
launqh,lɔntʃ,launch
leagh,liɡ,league
leaqh,litʃ,leach
leav,liv,leave
leeqh,litʃ,leech
leqh,lɛk,lech
lern,lɝn,learn
lernt,lɝnt,learnt
liht,laɪt,light
limm,lɪm,limb
limms,lɪmz,limbs
liqh,lɪtʃ,lich
loavs,loʊvz,loaves
lov,lʌv,love
lunqh,lʌntʃ,lunch
lurqh,lɝtʃ,lurch
luse,luz,lose
luwn,laʊn,lown
lynqh,lɪntʃ,lynch
mahm,mɑm,malm
marq,mɑɹk,marque
marqh,mɑɹtʃ,march
marqs,mɑɹks,marques
miht,maɪt,might
milqh,mɪltʃ,milch
moosse,mus,mousse
moov,muv,move
moovd,muvd,moved
morg,mɔɹɡ,morgue
morgs,mɔɹɡz,morgues
morrn,mɔɹn,mourn
mosq,mɑsk,mosque
mosqs,mɑsks,mosques
mowv,mɔv,mauve
mulqh,mʌltʃ,mulch
munqh,mʌntʃ,munch
muqh,mʌtʃ,much
myld,maɪld,mild
mynd,maɪnd,mind
nauht,nɔt,naught
neavs,nivz,neaves
nerv,nɝv,nerve
nih,naɪ,nigh
niht,naɪt,nite
nonn,nʌn,none
numm,nʌm,numb
nuw,naʊ,now
oht,ɔt,ought
ouqh,aʊtʃ,ouch
ov,ʌv,of
paer,pɛɹ,pear
paers,pɛɹz,pears
parqh,pɑɹtʃ,parch
pasq,pæsk,pasque
peaqh,pitʃ,peach
peev,piv,peeve
perl,pɝl,pearl
perls,pɝlz,pearls
perqh,pɝtʃ,perch
pinqh,pɪntʃ,pinch
piqe,pik,pique
piqed,pikt,piqued
pladd,plæd,plaid
plaghe,pleɪɡ,plague
plaghed,pleɪɡd,plagued
plaq,plæk,plaque
plaqs,plæks,plaques
pliht,plaɪt,plight
plouh,plaʊ,plough
pluw,plaʊ,plow
poaqh,poʊtʃ,poach
pooqh,putʃ,pooch
porqh,pɔɹtʃ,porch
porr,pɔɹ,pour
poste,poʊst,post
pouqh,paʊtʃ,pouch
preaqh,pɹitʃ,preach
proov,pɹuv,prove
proovd,pɹuvd,proved
pruw,pɹaʊ,prow
pruwl,pɹaʊl,prowl
pruws,pɹaʊz,prows
puhe,pju,pugh
punqh,pʌntʃ,punch
puw,paʊ,pow
pynt,paɪnt,pint
pynts,paɪnts,pints
qeu,kju,queue
qha,tʃɑ,cha
qhad,tʃæd,chad
qhafe,tʃeɪf,chafe
qhafed,tʃeɪft,chafed
qhaff,tʃæf,chaff
qhahk,tʃɑk,chalk
qhain,tʃeɪn,chain
qhair,tʃɛɹ,chair
qhamp,tʃæmp,champ
qhance,tʃæns,chance
qhange,tʃeɪndʒ,change
qhanged,tʃeɪndʒd,changed
qhant,tʃænt,chant
qhap,tʃæp,chap
qhar,tʃɑɹ,char
qhard,tʃɑɹd,chard
qharge,tʃɑɹdʒ,charge
qharged,tʃɑɹdʒd,charged
qharm,tʃɑɹm,charm
qhart,tʃɑɹt,chart
qhase,tʃeɪs,chase
qhased,tʃeɪst,chased
qhaste,tʃeɪst,chaste
qhat,tʃæt,chat
qhaw,tʃɔ,chaw
qheap,tʃip,cheap
qheat,tʃit,cheat
qheck,tʃɛk,check
qheek,tʃik,cheek
qheer,tʃɪɹ,cheer
qheese,tʃiz,cheese
qhert,tʃɝt,chert
qherts,tʃɝts,cherts
qhess,tʃɛs,chess
qhest,tʃɛst,chest
qhests,tʃɛsts,chests
qhew,tʃu,chew
qhick,tʃɪk,chick
qhicks,tʃɪks,chicks
qhide,tʃaɪd,chide
qhief,tʃif,chief
qhiefs,tʃifs,chiefs
qhill,tʃɪl,chill
qhime,tʃaɪm,chime
qhimed,tʃaɪmd,chimed
qhimp,tʃɪmp,chimp
qhimps,tʃɪmps,chimps
qhin,tʃɪn,chin
qhink,tʃɪŋk,chink
qhip,tʃɪp,chip
qhirp,tʃɝp,chirp
qhit,tʃɪt,chit
qhits,tʃɪts,chits
qhives,tʃaɪvz,chives
qhock,tʃɑk,chock
qhoice,tʃɔɪs,choice
qhoke,tʃoʊk,choke
qhoked,tʃoʊkt,choked
qhomp,tʃɑmp,chomp
qhon,tʃɑn,chon
qhook,tʃʊk,chook
qhoose,tʃuz,choose
qhop,tʃɑp,chop
qhose,tʃoʊz,chose
qhuck,tʃʌk,chuck
qhug,tʃʌɡ,chug
qhum,tʃʌm,chum
qhump,tʃʌmp,chump
qhunk,tʃʌŋk,chunk
qhurn,tʃɝn,churn
qhurqh,tʃɝtʃ,church
qhuse,tʃjuz,chuse
qhuw,tʃaʊ,chow
qhyld,tʃaɪld,child
qhylde,tʃɪld,childe
qishe,kiʃ,quiche
quahms,kwɑmz,qualms
quenqh,kwɛntʃ,quench
ranqh,ɹæntʃ,ranch
raqh,ɹætʃ,rach
reaqh,ɹitʃ,reach
reev,ɹiv,reeve
relm,ɹɛlm,realm
relms,ɹɛlmz,realms
riht,ɹaɪt,right
riqh,ɹɪtʃ,rich
roaqh,ɹoʊtʃ,roach
roghe,ɹoʊɡ,rogue
roqe,ɹoʊk,roque
ruff,ɹʌf,rough
rynd,ɹaɪnd,rind
salv,sɑv,salve
scarvs,skɑɹvz,scarves
scorqh,skɔɹtʃ,scorch
screeqh,skɹitʃ,screech
scrunqh,skɹʌntʃ,scrunch
scurge,skɝdʒ,scourge
scurged,skɝdʒd,scourged
scuw,skaʊ,scow
scuwl,skaʊl,scowl
seeze,siz,seize
seezed,sizd,seized
segweh,sɛɡ,segue
selvs,sɛlvz,selves
serqh,sɝtʃ,search
serv,sɝv,serve
shal,ʃæl,shall
shelv,ʃɛlv,shelve
shoodd,ʃʊd,should
shov,ʃʌv,shove
shue,ʃu,shoe
sih,saɪ,sigh
siht,saɪt,sight
siv,sɪv,sieve
sleev,sliv,sleeve
sleih,sleɪ,sleigh
sleiht,slaɪt,sleight
sliht,slaɪt,slight
slouqh,slaʊtʃ,slouch
sluce,slus,sluice
smoothe,smuð,smooth
soh,soʊ,sew
sohl,soʊl,soul
sohn,soʊn,sewn
soht,sɔt,sought
solv,sɑlv,solve
som,sʌm,some
sorce,sɔɹs,source
sord,sɔɹd,sword
speeqh,spitʃ,speech
spredd,spɹɛd,spread
squelqh,skwɛltʃ,squelch
staek,steɪk,steak
staeks,steɪks,steaks
stahk,stɔk,stalk
stanqh,stæntʃ,stanch
starqh,stɑɹtʃ,starch
starv,stɑɹv,starve
staunqh,stɔntʃ,staunch
